priority,pr,title,platform,subsystems,approvers,merged_by,reverted_by,verdict,skip_reason,type,merged_at,author,reviewers,labels,additions,deletions,files_in_release,files_total,files_existing,files_new,merge_sha,url
54,#34934,[Bugfix][CI] fix typos,rocm,"api/frontend, attention, config, distributed, engine, kernels, lora, models, quantization, scheduler, worker",hmellor,hmellor,,CANDIDATE,,platform_specific,2026-03-05,1195343015,gemini-code-assist; yewentao256; hmellor,"bug, documentation, performance, rocm, structured-output, frontend, ready, ci/build, v1, multi-modality, qwen, deepseek, cpu, kv-connector, nvidia",227,366,79,98,.buildkite/test-amd.yaml | .pre-commit-config.yaml | benchmarks/kernels/benchmark_2d_silu_mul_fp8_quant.py | csrc/cpu/cpu_attn_amx.hpp | csrc/cpu/torch_bindings.cpp | csrc/moe/moe_align_sum_kernels.cu | csrc/quantization/activation_kernels.cu | csrc/rocm/skinny_gemms.cu | docs/design/cuda_graphs.md | docs/design/fused_moe_modular_kernel.md | docs/design/logits_processors.md | docs/design/plugin_system.md | docs/models/pooling_models.md | examples/online_serving/dashboards/grafana/query_statistics.json | pyproject.toml | tests/compile/test_decorator.py | tests/compile/test_wrapper.py | tests/kernels/attention/test_attention.py | tests/kernels/moe/test_modular_kernel_combinations.py | tests/models/language/generation/test_mistral.py | tests/models/multimodal/generation/vlm_utils/model_utils.py | tests/quantization/test_blackwell_moe.py | tests/test_config.py | tests/tool_parsers/test_seed_oss_tool_parser.py | tests/transformers_utils/test_repo_utils.py | tests/v1/core/test_kv_cache_utils.py | tests/v1/core/test_prefix_caching.py | tests/v1/core/test_priority_scheduler_random.py | tests/v1/core/test_scheduler.py | tests/v1/entrypoints/llm/test_struct_output_generate.py | tests/v1/kv_connector/unit/test_nixl_connector.py | tests/v1/sample/test_logprobs.py | tests/v1/sample/test_rejection_sampler.py | vllm/_custom_ops.py | vllm/config/compilation.py | vllm/config/observability.py | vllm/config/vllm.py | vllm/distributed/eplb/policy/default.py | vllm/distributed/kv_transfer/kv_connector/v1/base.py | vllm/distributed/kv_transfer/kv_connector/v1/lmcache_integration/vllm_v1_adapter.py | vllm/distributed/kv_transfer/kv_connector/v1/offloading_connector.py | vllm/envs.py | vllm/forward_context.py | vllm/lora/layers/row_parallel_linear.py | vllm/lora/lora_model.py | vllm/lora/utils.py | vllm/model_executor/layers/fused_moe/flashinfer_cutlass_moe.py | vllm/model_executor/layers/fused_moe/fused_marlin_moe.py | vllm/model_executor/layers/fused_moe/modular_kernel.py | vllm/model_executor/layers/linear.py | vllm/model_executor/layers/mla.py | vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors.py | vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors_moe.py | vllm/model_executor/layers/quantization/cpu_wna16.py | vllm/model_executor/layers/quantization/torchao.py | vllm/model_executor/layers/quantization/utils/fp8_utils.py | vllm/model_executor/layers/quantization/utils/machete_utils.py | vllm/model_executor/layers/rotary_embedding/common.py | vllm/model_executor/models/ernie45_vl_moe.py | vllm/model_executor/models/keye.py | vllm/model_executor/models/longcat_flash.py | vllm/model_executor/models/nemotron_h.py | vllm/model_executor/models/paddleocr_vl.py | vllm/model_executor/models/phi4mm_audio.py | vllm/model_executor/models/phi4mm_utils.py | vllm/model_executor/models/qwen2_vl.py | vllm/model_executor/models/step3_vl.py | vllm/reasoning/ernie45_reasoning_parser.py | vllm/tokenizers/mistral.py | vllm/transformers_utils/processors/ovis2_5.py | vllm/v1/attention/backends/cpu_attn.py | vllm/v1/attention/backends/mamba_attn.py | vllm/v1/attention/backends/mla/flashmla_sparse.py | vllm/v1/attention/backends/rocm_aiter_fa.py | vllm/v1/core/single_type_kv_cache_manager.py | vllm/v1/engine/core.py | vllm/v1/engine/input_processor.py | vllm/v1/kv_offload/worker/cpu_gpu.py | vllm/v1/worker/gpu_model_runner.py,.buildkite/scripts/upload-nightly-wheels.sh | benchmarks/attention_benchmarks/common.py | tests/models/language/pooling/test_bge_m3.py | tests/renderers/test_hf.py | tests/v1/e2e/test_mamba_prefix_cache.py | tests/v1/kv_connector/unit/test_kv_connector_lifecycle.py | tests/v1/kv_connector/unit/test_moriio_connector.py | vllm/distributed/kv_transfer/kv_connector/v1/mooncake/mooncake_connector.py | vllm/entrypoints/openai/responses/serving.py | vllm/model_executor/kernels/linear/mixed_precision/cpu.py | vllm/model_executor/layers/attention/mla_attention.py | vllm/model_executor/models/fireredasr2.py | vllm/model_executor/models/funasr.py | vllm/model_executor/models/isaac.py | vllm/model_executor/models/molmo2.py | vllm/model_executor/models/step3p5.py | vllm/renderers/hf.py | vllm/renderers/inputs/preprocess.py | vllm/renderers/inputs/tokenize.py,6a895197fafa7069be75ff615709b77546bcec30,https://github.com/vllm-project/vllm/pull/34934
50,#30730,[ROCm][Bugfix] fix(structured_output): Skip guidance backend for schemas with patternProperties,rocm,engine,tjtanaa,tjtanaa,,CANDIDATE,,platform_specific,2025-12-18,AndreasKaratzas,gemini-code-assist; AndreasKaratzas; tjtanaa,"rocm, structured-output, ready, v1",45,2,2,2,vllm/v1/engine/input_processor.py | vllm/v1/structured_output/backend_guidance.py,,be2ad5f92060b66788740e2e8302a490fbd226f4,https://github.com/vllm-project/vllm/pull/30730
50,#31282,[Bugfix][Hardware][AMD] Fix last_page_len calculation in AITER MLA decode,rocm,attention,ganyi1996ppo; tjtanaa,vllm-bot,,CANDIDATE,,platform_specific,2026-01-02,c0de128,gemini-code-assist; ganyi1996ppo; zq1997; c0de128; tjtanaa,"rocm, ready, v1",12,9,1,1,vllm/v1/attention/backends/mla/rocm_aiter_mla.py,,825c2dc133d490c468a35c573500107f44b32ac8,https://github.com/vllm-project/vllm/pull/31282
50,#31816,[ROCm][AITER] bugfix accuracy regression in ROCM_AITER_TRITON_MLA backend,rocm,attention,tjtanaa,tjtanaa,,CANDIDATE,,platform_specific,2026-01-07,vllmellm,gemini-code-assist; tjtanaa,"rocm, ready, v1",2,10,1,1,vllm/v1/attention/backends/mla/aiter_triton_mla.py,,6409004b2656baa147a3ecc6577e5b24fc225541,https://github.com/vllm-project/vllm/pull/31816
50,#31380,[Bugfix][ROCm]Fix Qwen3-Next-80B-A3B-Thinking inference and optimize non-standard block size (544) support under rocm_atten,rocm,attention,tjtanaa,tjtanaa,,CANDIDATE,,platform_specific,2026-01-09,vllmellm,gemini-code-assist; chatgpt-codex-connector; tjtanaa; vllmellm; cursor,"bug, rocm, ready, v1, qwen",283,84,5,5,tests/kernels/attention/test_prefix_prefill.py | vllm/attention/ops/chunked_prefill_paged_decode.py | vllm/attention/ops/prefix_prefill.py | vllm/attention/ops/triton_reshape_and_cache_flash.py | vllm/v1/attention/backends/rocm_attn.py,,1a19e9cd87b6bb091fc9c530e6446601db52b58e,https://github.com/vllm-project/vllm/pull/31380
50,#32336,[Bugfix][ROCm][performance] Resolve the performance regression issue of the Qwen3-Next-80B-A3B-Thinking under rocm_atten,rocm,attention,tjtanaa,tjtanaa,,CANDIDATE,,platform_specific,2026-01-14,vllmellm,gemini-code-assist; vllmellm; tjtanaa,"bug, rocm, ready, v1, qwen",10,1,1,1,vllm/v1/attention/backends/rocm_attn.py,,e27078ea807cf5655c6be3b59608e55c1682756d,https://github.com/vllm-project/vllm/pull/32336
50,#32413,[ROCm][Bugfix] Disable hip sampler to fix deepseek's accuracy issue on ROCm,rocm,sampling,tjtanaa,tjtanaa,,CANDIDATE,,platform_specific,2026-01-15,ganyi1996ppo,gemini-code-assist; tjtanaa,"bug, rocm, ready, v1, deepseek",4,0,1,1,vllm/v1/sample/ops/topk_topp_sampler.py,,77c16df31df16d09b2198b485a6d54cc14e98b69,https://github.com/vllm-project/vllm/pull/32413
50,#33269,[Bugfix] Add missing encoder only guard for do_kv_cache_update,rocm,attention,ProExpertProg,ProExpertProg,,CANDIDATE,,platform_specific,2026-01-28,gshtras,gemini-code-assist; gshtras; ProExpertProg,"bug, rocm, ready, v1",4,0,1,1,vllm/v1/attention/backends/triton_attn.py,,ab597c869a78530fe6495ccda2bdc03f6f5c712e,https://github.com/vllm-project/vllm/pull/33269
50,#32877,[Bugfix][Hardware][AMD] Fix ROCM_AITER_FA speculative decoding support,rocm,attention,houseroad,zhuohan123,,CANDIDATE,,platform_specific,2026-02-20,c0de128,gemini-code-assist; houseroad,"bug, rocm, ready, v1",35,2,1,1,vllm/v1/attention/backends/rocm_aiter_fa.py,,8de7c636cc02a8306441af868b9c1d0e6d64799f,https://github.com/vllm-project/vllm/pull/32877
50,#36720,[Bugfix][ROCm] Fix worker startup OOM on ROCm by skipping unreliable cudagraph memory profiling,rocm,worker,MatthewBonanni,MatthewBonanni,,CANDIDATE,,platform_specific,2026-03-17,JartX,gemini-code-assist; MatthewBonanni,"bug, rocm, ready, v1, nvidia",5,2,1,1,vllm/v1/worker/gpu_worker.py,,e8f9dbc369aa2086ec1e1fe3b104c582812cfc17,https://github.com/vllm-project/vllm/pull/36720
50,#37606,[ROCm][Bugfix] fix cache block size mismatch for aiter unified attention,rocm,attention,gshtras,gshtras,,CANDIDATE,,platform_specific,2026-03-20,divakar-amd,gemini-code-assist; gshtras,"bug, rocm, ready, v1",7,24,2,2,vllm/platforms/rocm.py | vllm/v1/attention/backends/rocm_aiter_unified_attn.py,,4ca3fa6bb4633fed1196292f764ce8cf13f647b5,https://github.com/vllm-project/vllm/pull/37606
50,#37775,[Bugfix] Fix pooling non-determinism from pinned prompt_lens aliasing,rocm,worker,noooop,noooop,,CANDIDATE,,platform_specific,2026-03-22,AndreasKaratzas,gemini-code-assist; AndreasKaratzas; noooop,"bug, rocm, ready, v1",63,1,2,2,tests/v1/worker/test_gpu_input_batch.py | vllm/v1/worker/gpu_input_batch.py,,66f927f205fd86a933642ef46b84997dc69bb668,https://github.com/vllm-project/vllm/pull/37775
40,#31109,[Bugfix][ROCm] Fix typo: is_linear_fp8_enaled -> is_linear_fp8_enabled,rocm,"kernels, quantization",DarkLight1337,vllm-bot,,CANDIDATE,,platform_specific,2025-12-22,c0de128,gemini-code-assist; DarkLight1337,rocm,5,5,5,5,vllm/_aiter_ops.py | vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a8_fp8.py | vllm/model_executor/layers/quantization/fp8.py | vllm/model_executor/layers/quantization/input_quant_fp8.py | vllm/platforms/rocm.py,,cf8eed7bef52293a9a6706a2953374b24dff2c81,https://github.com/vllm-project/vllm/pull/31109
