priority,verdict,skip_reason,type,pr,title,author,merged_by,reviewers,subsystems,merged_at,labels,additions,deletions,files_in_release,files_total,files_existing,files_new,merge_sha,url
100,CANDIDATE,,runtime_bug,#30242,[BugFix] skip language model in Encoder,Bounty-hunter,vllm-bot,chatgpt-codex-connector; gemini-code-assist; Bounty-hunter; NickLucche; DarkLight1337,"config, models, worker",2025-12-22,"documentation, ready, v1, qwen, kv-connector",116,3,8,8,examples/online_serving/disaggregated_encoder/README.md | vllm/config/model.py | vllm/model_executor/model_loader/utils.py | vllm/model_executor/models/adapters.py | vllm/model_executor/models/interfaces.py | vllm/model_executor/models/qwen2_5_vl.py | vllm/model_executor/models/qwen3_vl.py | vllm/v1/worker/gpu_model_runner.py,,8f8f469b1b8c4ef44a0a8a5f0bc6ddf86acbc9db,https://github.com/vllm-project/vllm/pull/30242
100,CANDIDATE,,runtime_bug,#29867,[Quantization] fix: overflow with static per-tensor scaling,mickaelseznec,mgoin,chatgpt-codex-connector; gemini-code-assist; tlrmchlsmth; LucasWilkinson; cursor; mgoin,"attention, kernels, quantization",2026-01-13,"bug, ready, v1, deepseek",71,56,2,2,vllm/model_executor/layers/quantization/utils/quant_utils.py | vllm/v1/attention/backends/mla/common.py,,a5bbbd2f24983f309f915a1de911b9301e1699e2,https://github.com/vllm-project/vllm/pull/29867
94,CANDIDATE,,runtime_bug,#32243,[Bugfix] Replace `PoolingParams.normalize` with `use_activation`,DarkLight1337,DarkLight1337,gemini-code-assist; DarkLight1337; Isotr0py; noooop,"api/frontend, config, kernels, models",2026-01-13,"documentation, frontend, ready",68,70,17,21,examples/pooling/embed/openai_embedding_long_text/README.md | examples/pooling/embed/openai_embedding_long_text/client.py | examples/pooling/embed/openai_embedding_long_text/service.sh | tests/entrypoints/pooling/embed/test_offline.py | tests/entrypoints/pooling/embed/test_online_long_text.py | tests/entrypoints/pooling/score/test_online_score.py | tests/model_executor/test_model_load_with_params.py | tests/models/language/pooling/test_pooler_config_init_behaviour.py | tests/test_config.py | tests/test_pooling_params.py | vllm/config/pooler.py | vllm/entrypoints/pooling/embed/protocol.py | vllm/entrypoints/pooling/pooling/protocol.py | vllm/model_executor/models/bert.py | vllm/model_executor/models/modernbert.py | vllm/pooling_params.py | vllm/transformers_utils/config.py,vllm/model_executor/layers/pooler/seqwise/heads.py | vllm/model_executor/layers/pooler/seqwise/poolers.py | vllm/model_executor/layers/pooler/tokwise/heads.py | vllm/model_executor/layers/pooler/tokwise/poolers.py,232214b2aece00201a2355ed7368452f761b76db,https://github.com/vllm-project/vllm/pull/32243
90,CANDIDATE,,runtime_bug,#29002,[Bugfix] fix DP-aware routing in OpenAI API requests,inkcherry,njhill,gemini-code-assist; chatgpt-codex-connector; markmc; ChuanLi1101; inkcherry; njhill,api/frontend,2025-12-18,"frontend, ready, ci/build, v1, nvidia",68,0,7,7,tests/entrypoints/openai/test_chat_error.py | tests/entrypoints/openai/test_completion_error.py | tests/entrypoints/openai/test_serving_chat.py | tests/v1/engine/test_async_llm.py | vllm/entrypoints/openai/serving_chat.py | vllm/entrypoints/openai/serving_completion.py | vllm/entrypoints/openai/serving_engine.py,,500f26e6d35d9743167bc4908c01ca356e543836,https://github.com/vllm-project/vllm/pull/29002
90,CANDIDATE,,runtime_bug,#29476,[BugFix] Add sleep to fix tight loop and release GIL,alec-flowers,njhill,gemini-code-assist; njhill,engine,2025-12-18,"ready, v1",7,0,1,1,vllm/v1/engine/core.py,,62be3670cb97e7196c30be26fe347d12d183429c,https://github.com/vllm-project/vllm/pull/29476
90,CANDIDATE,,runtime_bug,#30319,[BugFix] Spec decode with VLLM_ENABLE_V1_MULTIPROCESSING=0,heheda12345,njhill,gemini-code-assist; njhill,engine,2025-12-18,"ready, v1",2,1,1,1,vllm/v1/engine/core_client.py,,24b65eff0da0c8c4422f9cff6bf35f80a11c0274,https://github.com/vllm-project/vllm/pull/30319
90,CANDIDATE,,runtime_bug,#30916,[BugFix] Fix spec decode + structured outputs + preemption edge case,njhill,njhill,gemini-code-assist; benchislett,worker,2025-12-18,"bug, ready, v1",5,1,1,1,vllm/v1/worker/gpu_model_runner.py,,b0b77c46551bb5762a520f2b6e3af73a4defdfab,https://github.com/vllm-project/vllm/pull/30916
90,CANDIDATE,,runtime_bug,#30867,"[Bugfix] Fix tool_choice=""none"" being ignored by GPT-OSS/harmony models",HaloWorld,chaunceyjiang,gemini-code-assist; chaunceyjiang; HaloWorld,api/frontend,2025-12-19,"frontend, ready, gpt-oss",86,4,2,2,tests/entrypoints/openai/test_serving_chat.py | vllm/entrypoints/openai/serving_chat.py,,6a09612b2e0e09d037a220ea8115632b8084e008,https://github.com/vllm-project/vllm/pull/30867
90,CANDIDATE,,runtime_bug,#30846,[BugFix] Fix logprobs with spec decode and modified logits,njhill,njhill,gemini-code-assist; benchislett; njhill; micah-wil,sampling,2025-12-19,"bug, ready, v1",30,11,2,2,tests/v1/sample/test_logprobs.py | vllm/v1/sample/rejection_sampler.py,,2ac85a4544cf9488037e61bf9ed7a87d0c3696bb,https://github.com/vllm-project/vllm/pull/30846
90,CANDIDATE,,runtime_bug,#30613,[Bugfix] Add validation for tool requests when tool_parser is unavailable,majiayu000,DarkLight1337,gemini-code-assist; DarkLight1337,api/frontend,2025-12-19,"documentation, frontend, ready",89,9,2,2,tests/entrypoints/openai/test_serving_chat.py | vllm/entrypoints/openai/serving_chat.py,,086b96339ffe057f92cd0a20c8be820b17e24dbf,https://github.com/vllm-project/vllm/pull/30613
90,CANDIDATE,,runtime_bug,#30924,[BugFix] Fix TypeError: unhashable type: 'dict' when serving deepseek32,LucasWilkinson,yewentao256,gemini-code-assist; heheda12345; LucasWilkinson; yewentao256,worker,2025-12-19,"ready, v1, deepseek",4,1,1,1,vllm/v1/worker/gpu_model_runner.py,,5f6477d1d0b800985602a4b495e524de19782073,https://github.com/vllm-project/vllm/pull/30924
90,CANDIDATE,,runtime_bug,#31013,[Bugfix] Read truncate_prompt_tokens from pooling_params in AsyncLLM.encode(),jeffreywang-anyscale,DarkLight1337,gemini-code-assist; chatgpt-codex-connector; noooop; jeffreywang-anyscale; DarkLight1337,engine,2025-12-20,"ready, v1",20,2,2,2,vllm/engine/protocol.py | vllm/v1/engine/async_llm.py,,1501a4070ec1f5e3f8f1ffd0099dc32d85a9ad98,https://github.com/vllm-project/vllm/pull/31013
90,CANDIDATE,,runtime_bug,#30608,[BugFix]fix gpt-oss v1/completions response bug,princepride,chaunceyjiang,gemini-code-assist; princepride; chaunceyjiang,api/frontend,2025-12-21,"frontend, ready, tool-calling, gpt-oss",40,14,4,4,tests/entrypoints/openai/test_response_api_with_harmony.py | tests/entrypoints/openai/test_serving_chat.py | vllm/entrypoints/openai/serving_chat.py | vllm/tool_parsers/openai_tool_parser.py,,3e92b2b7acaa61335ecd7bea5eeed50388739194,https://github.com/vllm-project/vllm/pull/30608
90,CANDIDATE,,runtime_bug,#31173,[Bug] Fix `'CutlassMLAImpl' object has no attribute '_workspace_buffer'`,yewentao256,vllm-bot,gemini-code-assist; pavanimajety; mgoin,attention,2025-12-22,"ready, v1, nvidia",7,3,1,1,vllm/v1/attention/backends/mla/common.py,,5312a7284e58e47bd10f7acbab52f703714027c2,https://github.com/vllm-project/vllm/pull/31173
90,CANDIDATE,,runtime_bug,#31260,"[Bugfix] Fix `max_model_len=""auto""` handling",DarkLight1337,DarkLight1337,gemini-code-assist; hmellor,"config, engine, scheduler",2025-12-24,"ready, v1",79,82,3,3,vllm/config/model.py | vllm/engine/arg_utils.py | vllm/v1/core/kv_cache_utils.py,,7adeb4bfa8630773c84f9ad9e97830becd540896,https://github.com/vllm-project/vllm/pull/31260
90,CANDIDATE,,runtime_bug,#31373,[BugFix] Re-fix async multimodal cpu tensor race condition,njhill,vllm-bot,gemini-code-assist; DarkLight1337,worker,2025-12-28,"ready, v1",112,114,1,1,vllm/v1/worker/gpu_model_runner.py,,094fcce250110b7987f36468a3b4e28cc4858378,https://github.com/vllm-project/vllm/pull/31373
90,CANDIDATE,,runtime_bug,#31445,[Bugfix][Frontend] Fix Jina reranker multimodal input compatibility,twjww,vllm-bot,gemini-code-assist; noooop,api/frontend,2025-12-29,"frontend, ready, multi-modality",316,138,2,2,tests/models/multimodal/pooling/test_jinavl_reranker.py | vllm/entrypoints/score_utils.py,,bf73a3e4d7e16d03c89ac068de9cf80664f8195f,https://github.com/vllm-project/vllm/pull/31445
90,CANDIDATE,,runtime_bug,#31438,[Bugfix] Preserve tool call id/type/name in streaming finish chunk,amittell,chaunceyjiang,gemini-code-assist; copilot-pull-request-reviewer; chaunceyjiang; amittell,api/frontend,2025-12-29,"frontend, ready",170,9,2,2,tests/entrypoints/openai/test_serving_chat.py | vllm/entrypoints/openai/serving_chat.py,,9c884faa95f0c58ff2831278cc65a68a48aef679,https://github.com/vllm-project/vllm/pull/31438
90,CANDIDATE,,runtime_bug,#31505,[Bugfix]Fix pooling model always disabled due to incorrect PP rank check,vintipandey,simon-mo,gemini-code-assist; njhill; houseroad,worker,2025-12-30,"ready, v1",1,1,1,1,vllm/v1/worker/gpu_model_runner.py,,04147dcfa70fb7228ce9e2f88fa7dd41631d17f0,https://github.com/vllm-project/vllm/pull/31505
90,CANDIDATE,,runtime_bug,#31390,[Bug] Fix log issue with `\n`,yewentao256,vllm-bot,gemini-code-assist; Isotr0py; robertgshaw2-redhat,attention,2025-12-31,"bug, ready, v1",2,2,1,1,vllm/v1/attention/backends/mla/flashmla_sparse.py,,357d435c549dbfcce9f1dd2c737750d7046cffee,https://github.com/vllm-project/vllm/pull/31390
