pr,title,type,skip_reason,author,merged_by,merged_at,labels,merge_sha,url
#30730,[ROCm][Bugfix] fix(structured_output): Skip guidance backend for schemas with patternProperties,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),AndreasKaratzas,tjtanaa,2025-12-18,"rocm, structured-output, ready, v1",be2ad5f92060b66788740e2e8302a490fbd226f4,https://github.com/vllm-project/vllm/pull/30730
#30920,[Bugfix] Fix Unicode issues in GLM-4 tool calling,runtime_bug,,chaunceyjiang,youkaichao,2025-12-18,ready,aa7e8360559e639f201f08a4deee490af332b22c,https://github.com/vllm-project/vllm/pull/30920
#30910,[BugFix] Partial revert of #29558 (DeepEP HT + PIECEWISE CG support),runtime_bug,,LucasWilkinson,khluu,2025-12-18,ready,30bb19a760d6d5e8c69b3a4c78c9cb7430872a61,https://github.com/vllm-project/vllm/pull/30910
#30909,[ROCm][Bugfix] Fix `fa_version` argument error in `flash_attn_maxseqlen_wrapper` for ROCm without aiter,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),AndreasKaratzas,tjtanaa,2025-12-18,"rocm, ready",8da6ae49c3d99e147bc739e54fe57e43581d887b,https://github.com/vllm-project/vllm/pull/30909
#30955,[Bugfix][CPU] Fix Mac CPU build,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),bigPYJ1151,vllm-bot,2025-12-18,cpu,f90d3636e285a78fbc452f081ea2f55811df1c72,https://github.com/vllm-project/vllm/pull/30955
#30907,[Bug] Fix batch invariant in torch 2.10,runtime_bug,,yewentao256,vllm-bot,2025-12-18,ready,66287582339d1f27c951f0108aac9aa7377fe643,https://github.com/vllm-project/vllm/pull/30907
#30822,[Bugfix][torch2.10] Fix test_qwen2_5_vl_compilation with 2.10 RC,runtime_bug,,Lucaskabela,vllm-bot,2025-12-18,"ready, qwen",0db5439ded739731474009217a7515fd52c221c8,https://github.com/vllm-project/vllm/pull/30822
#29002,[Bugfix] fix DP-aware routing in OpenAI API requests,runtime_bug,,inkcherry,njhill,2025-12-18,"frontend, ready, ci/build, v1, nvidia",500f26e6d35d9743167bc4908c01ca356e543836,https://github.com/vllm-project/vllm/pull/29002
#29476,[BugFix] Add sleep to fix tight loop and release GIL,runtime_bug,,alec-flowers,njhill,2025-12-18,"ready, v1",62be3670cb97e7196c30be26fe347d12d183429c,https://github.com/vllm-project/vllm/pull/29476
#30745,[BugFix]Reclaim resources to prevent memory leaks when use LMCacheMPConnector,runtime_bug,,wz1qqx,ApostaC,2025-12-18,"ready, kv-connector",889f8bb250d498dcd38d7bcf58fb3c9e50d54d14,https://github.com/vllm-project/vllm/pull/30745
#30973,[Bugfix] Remove `tile_size=64` for mm_prefix triton attention,runtime_bug,,Isotr0py,tdoublep,2025-12-18,ready,d2dc5dfc6ecafbd3d725c1c42dd019db2b1efd30,https://github.com/vllm-project/vllm/pull/30973
#30820,[Bug] Fix compressed tensor not using deepgemm,runtime_bug,,yewentao256,mgoin,2025-12-18,ready,97000a2be7e318be1a3eb172f9abf2d67dbe73bf,https://github.com/vllm-project/vllm/pull/30820
#30319,[BugFix] Spec decode with VLLM_ENABLE_V1_MULTIPROCESSING=0,runtime_bug,,heheda12345,njhill,2025-12-18,"ready, v1",24b65eff0da0c8c4422f9cff6bf35f80a11c0274,https://github.com/vllm-project/vllm/pull/30319
#30916,[BugFix] Fix spec decode + structured outputs + preemption edge case,runtime_bug,,njhill,njhill,2025-12-18,"bug, ready, v1",b0b77c46551bb5762a520f2b6e3af73a4defdfab,https://github.com/vllm-project/vllm/pull/30916
#30983,Check for truthy `rope_parameters` not the existence of it,runtime_bug,,hmellor,simon-mo,2025-12-18,"bug, ready",19c583398aec0ef2b9fe42ba020bc3c39e7e001f,https://github.com/vllm-project/vllm/pull/30983
#30419,[NIXL][BUG FIX] Fix both failing issue and accuracy issue with nixl + host_buffer on CUDA,unclear,,xuechendi,NickLucche,2025-12-18,"ready, v1, kv-connector, nvidia",6ca74bc11afc1a985ab80f4b94b2d3bcda764630,https://github.com/vllm-project/vllm/pull/30419
#30895,[BugFix] Handle errors when preprocessing added requests,runtime_bug,,njhill,robertgshaw2-redhat,2025-12-19,"bug, ready, ci/build, v1",45c0526ac9517ae52a91e3e07bd023ce9f1a7c69,https://github.com/vllm-project/vllm/pull/30895
#30867,"[Bugfix] Fix tool_choice=""none"" being ignored by GPT-OSS/harmony models",runtime_bug,,HaloWorld,chaunceyjiang,2025-12-19,"frontend, ready, gpt-oss",6a09612b2e0e09d037a220ea8115632b8084e008,https://github.com/vllm-project/vllm/pull/30867
#30270,[ROCm][CI][Bugfix] Multi-Modal Model Support Fixes and Attention Backend Improvements,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),AndreasKaratzas,tjtanaa,2025-12-19,"rocm, ready, ci/build, multi-modality, qwen",7b43db210c34023cb1e8bcec1d3c49537556856f,https://github.com/vllm-project/vllm/pull/30270
#30846,[BugFix] Fix logprobs with spec decode and modified logits,runtime_bug,,njhill,njhill,2025-12-19,"bug, ready, v1",2ac85a4544cf9488037e61bf9ed7a87d0c3696bb,https://github.com/vllm-project/vllm/pull/30846
#30974,[Bugfix] Fix incorrect tiles creation for mm prefix triton attention,runtime_bug,,Isotr0py,Isotr0py,2025-12-19,ready,ac1c934276167085dc7d9e5adb8c2089de0460f9,https://github.com/vllm-project/vllm/pull/30974
#30613,[Bugfix] Add validation for tool requests when tool_parser is unavailable,runtime_bug,,majiayu000,DarkLight1337,2025-12-19,"documentation, frontend, ready",086b96339ffe057f92cd0a20c8be820b17e24dbf,https://github.com/vllm-project/vllm/pull/30613
#30871,[CPU][Bugfix] Fix ppc64le CPU build,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),npanpaliya,bigPYJ1151,2025-12-19,"ready, cpu",bd2b52fc2dd09b401991835c8a2a6f2ef940b2e4,https://github.com/vllm-project/vllm/pull/30871
#30887,[Bugfix] [Kernel] Triton attention kernels: mask out V blocks that fall outside sliding window,runtime_bug,,tdoublep,Isotr0py,2025-12-19,ready,b5545d9d5cab2625ac04a19f552631a2034c8f47,https://github.com/vllm-project/vllm/pull/30887
#30961,[Quantization] fix marlin w8a8 check,runtime_bug,,jinzhen-lin,vllm-bot,2025-12-19,bug,5fbfa8d9ef15948599631baeb91e8220b2ee9bcc,https://github.com/vllm-project/vllm/pull/30961
#30924,[BugFix] Fix TypeError: unhashable type: 'dict' when serving deepseek32,runtime_bug,,LucasWilkinson,yewentao256,2025-12-19,"ready, v1, deepseek",5f6477d1d0b800985602a4b495e524de19782073,https://github.com/vllm-project/vllm/pull/30924
#31046,[Bug] Fix `error 'Dynamo failed to run FX node with fake tensors` for Deepseek V3.2,runtime_bug,,yewentao256,yewentao256,2025-12-19,"ready, deepseek",4cf9429897c1a6c720a0f099a7a46e9d51af9342,https://github.com/vllm-project/vllm/pull/31046
