priority,pr,title,platform,subsystems,approvers,merged_by,reverted_by,verdict,skip_reason,type,merged_at,author,reviewers,labels,additions,deletions,files_in_release,files_total,files_existing,files_new,merge_sha,url
57,#32795,[Bugfix][Attention] Explicitly report support for kv_cache_dtype bfloat16,cpu,"attention, kernels, quantization",ProExpertProg; tlrmchlsmth,ProExpertProg,,CANDIDATE,,platform_specific,2026-01-22,MatthewBonanni,gemini-code-assist; ProExpertProg; MatthewBonanni; tlrmchlsmth,"bug, ready, v1, cpu, nvidia",31,11,12,13,vllm/model_executor/layers/quantization/kv_cache.py | vllm/platforms/cpu.py | vllm/v1/attention/backends/flash_attn.py | vllm/v1/attention/backends/flashinfer.py | vllm/v1/attention/backends/flex_attention.py | vllm/v1/attention/backends/mla/cutlass_mla.py | vllm/v1/attention/backends/mla/flashattn_mla.py | vllm/v1/attention/backends/mla/flashinfer_mla.py | vllm/v1/attention/backends/mla/flashmla.py | vllm/v1/attention/backends/mla/flashmla_sparse.py | vllm/v1/attention/backends/mla/triton_mla.py | vllm/v1/attention/backends/triton_attn.py,vllm/v1/attention/backend.py,955b43a5a5142046bd8a1bd22fd219bf944a6265,https://github.com/vllm-project/vllm/pull/32795
54,#34934,[Bugfix][CI] fix typos,cpu,"api/frontend, attention, config, distributed, engine, kernels, lora, models, quantization, scheduler, worker",hmellor,hmellor,,CANDIDATE,,platform_specific,2026-03-05,1195343015,gemini-code-assist; yewentao256; hmellor,"bug, documentation, performance, rocm, structured-output, frontend, ready, ci/build, v1, multi-modality, qwen, deepseek, cpu, kv-connector, nvidia",227,366,79,98,.buildkite/test-amd.yaml | .pre-commit-config.yaml | benchmarks/kernels/benchmark_2d_silu_mul_fp8_quant.py | csrc/cpu/cpu_attn_amx.hpp | csrc/cpu/torch_bindings.cpp | csrc/moe/moe_align_sum_kernels.cu | csrc/quantization/activation_kernels.cu | csrc/rocm/skinny_gemms.cu | docs/design/cuda_graphs.md | docs/design/fused_moe_modular_kernel.md | docs/design/logits_processors.md | docs/design/plugin_system.md | docs/models/pooling_models.md | examples/online_serving/dashboards/grafana/query_statistics.json | pyproject.toml | tests/compile/test_decorator.py | tests/compile/test_wrapper.py | tests/kernels/attention/test_attention.py | tests/kernels/moe/test_modular_kernel_combinations.py | tests/models/language/generation/test_mistral.py | tests/models/multimodal/generation/vlm_utils/model_utils.py | tests/quantization/test_blackwell_moe.py | tests/test_config.py | tests/tool_parsers/test_seed_oss_tool_parser.py | tests/transformers_utils/test_repo_utils.py | tests/v1/core/test_kv_cache_utils.py | tests/v1/core/test_prefix_caching.py | tests/v1/core/test_priority_scheduler_random.py | tests/v1/core/test_scheduler.py | tests/v1/entrypoints/llm/test_struct_output_generate.py | tests/v1/kv_connector/unit/test_nixl_connector.py | tests/v1/sample/test_logprobs.py | tests/v1/sample/test_rejection_sampler.py | vllm/_custom_ops.py | vllm/config/compilation.py | vllm/config/observability.py | vllm/config/vllm.py | vllm/distributed/eplb/policy/default.py | vllm/distributed/kv_transfer/kv_connector/v1/base.py | vllm/distributed/kv_transfer/kv_connector/v1/lmcache_integration/vllm_v1_adapter.py | vllm/distributed/kv_transfer/kv_connector/v1/offloading_connector.py | vllm/envs.py | vllm/forward_context.py | vllm/lora/layers/row_parallel_linear.py | vllm/lora/lora_model.py | vllm/lora/utils.py | vllm/model_executor/layers/fused_moe/flashinfer_cutlass_moe.py | vllm/model_executor/layers/fused_moe/fused_marlin_moe.py | vllm/model_executor/layers/fused_moe/modular_kernel.py | vllm/model_executor/layers/linear.py | vllm/model_executor/layers/mla.py | vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors.py | vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors_moe.py | vllm/model_executor/layers/quantization/cpu_wna16.py | vllm/model_executor/layers/quantization/torchao.py | vllm/model_executor/layers/quantization/utils/fp8_utils.py | vllm/model_executor/layers/quantization/utils/machete_utils.py | vllm/model_executor/layers/rotary_embedding/common.py | vllm/model_executor/models/ernie45_vl_moe.py | vllm/model_executor/models/keye.py | vllm/model_executor/models/longcat_flash.py | vllm/model_executor/models/nemotron_h.py | vllm/model_executor/models/paddleocr_vl.py | vllm/model_executor/models/phi4mm_audio.py | vllm/model_executor/models/phi4mm_utils.py | vllm/model_executor/models/qwen2_vl.py | vllm/model_executor/models/step3_vl.py | vllm/reasoning/ernie45_reasoning_parser.py | vllm/tokenizers/mistral.py | vllm/transformers_utils/processors/ovis2_5.py | vllm/v1/attention/backends/cpu_attn.py | vllm/v1/attention/backends/mamba_attn.py | vllm/v1/attention/backends/mla/flashmla_sparse.py | vllm/v1/attention/backends/rocm_aiter_fa.py | vllm/v1/core/single_type_kv_cache_manager.py | vllm/v1/engine/core.py | vllm/v1/engine/input_processor.py | vllm/v1/kv_offload/worker/cpu_gpu.py | vllm/v1/worker/gpu_model_runner.py,.buildkite/scripts/upload-nightly-wheels.sh | benchmarks/attention_benchmarks/common.py | tests/models/language/pooling/test_bge_m3.py | tests/renderers/test_hf.py | tests/v1/e2e/test_mamba_prefix_cache.py | tests/v1/kv_connector/unit/test_kv_connector_lifecycle.py | tests/v1/kv_connector/unit/test_moriio_connector.py | vllm/distributed/kv_transfer/kv_connector/v1/mooncake/mooncake_connector.py | vllm/entrypoints/openai/responses/serving.py | vllm/model_executor/kernels/linear/mixed_precision/cpu.py | vllm/model_executor/layers/attention/mla_attention.py | vllm/model_executor/models/fireredasr2.py | vllm/model_executor/models/funasr.py | vllm/model_executor/models/isaac.py | vllm/model_executor/models/molmo2.py | vllm/model_executor/models/step3p5.py | vllm/renderers/hf.py | vllm/renderers/inputs/preprocess.py | vllm/renderers/inputs/tokenize.py,6a895197fafa7069be75ff615709b77546bcec30,https://github.com/vllm-project/vllm/pull/34934
50,#35503,[Bugfix] Propagate compilation_time from workers to main process for TP>1,cpu,worker,ProExpertProg; atalman; zou3519,zou3519,,CANDIDATE,,platform_specific,2026-02-28,huydhn,gemini-code-assist; zou3519; ProExpertProg; atalman,"bug, ready, v1, cpu",20,5,4,4,vllm/v1/executor/abstract.py | vllm/v1/worker/cpu_worker.py | vllm/v1/worker/gpu_worker.py | vllm/v1/worker/worker_base.py,,7b346ba8ed546ad274a7905ccfd9f3c0c242226a,https://github.com/vllm-project/vllm/pull/35503
50,#35815,[Bugfix] Fix CPU OMP autobind assertion to use local_world_size,cpu,worker,bigPYJ1151,vllm-bot,,CANDIDATE,,platform_specific,2026-03-09,weiguangli-io,gemini-code-assist; bigPYJ1151,"bug, ready, v1, cpu",3,5,1,1,vllm/v1/worker/cpu_worker.py,,43aa3892314f8336f83a9fbe614899ddcf0e1df8,https://github.com/vllm-project/vllm/pull/35815
50,#36430,[Bugfix] Avoid to replace non-tensor members in cpu model runner,cpu,worker,jikunshang,jikunshang,,CANDIDATE,,platform_specific,2026-03-09,bigPYJ1151,gemini-code-assist; jikunshang,"bug, ready, v1, cpu",3,3,1,1,vllm/v1/worker/cpu_model_runner.py,,217f27598dbf3cc8ec0765cc3a41b667939ce6bb,https://github.com/vllm-project/vllm/pull/36430
50,#37145,[Bugfix] Avoid LD_PRELOAD check on MacOS,cpu,worker,DarkLight1337,vllm-bot,,CANDIDATE,,platform_specific,2026-03-16,bigPYJ1151,gemini-code-assist; DarkLight1337,"bug, v1, cpu",5,3,1,1,vllm/v1/worker/cpu_worker.py,,7362b4450a4cde8b208682c0be6c901d4b5290e6,https://github.com/vllm-project/vllm/pull/37145
50,#37550,[Bugfix] Fix CPU backend crash in KV cache block zeroing,cpu,worker,bigPYJ1151,bigPYJ1151,,CANDIDATE,,platform_specific,2026-03-23,DorBernsohn,gemini-code-assist; bigPYJ1151; DorBernsohn,"bug, ready, v1, cpu",5,0,1,1,vllm/v1/worker/cpu_model_runner.py,,7938d121196d87a710b93e55ce4cefa6a11bedd8,https://github.com/vllm-project/vllm/pull/37550
45,#34321,[Bugfix][CPU] Fix llama4 inference on CPU,cpu,"kernels, worker",jikunshang,bigPYJ1151,,CANDIDATE,,platform_specific,2026-02-11,bigPYJ1151,gemini-code-assist; jikunshang,"bug, ready, v1, llama, cpu",60,18,5,6,.gitignore | csrc/cpu/torch_bindings.cpp | vllm/_custom_ops.py | vllm/model_executor/layers/fused_moe/cpu_fused_moe.py | vllm/v1/worker/cpu_worker.py,csrc/cpu/cpu_fused_moe.cpp,05339a7b207e2f32b56c29398c18d577c74cef3b,https://github.com/vllm-project/vllm/pull/34321
40,#33727,[CPU][BugFix] Allow w8a8 oneDNN quantized matmul to support 3D inputs,cpu,"kernels, quantization",bigPYJ1151,bigPYJ1151,,CANDIDATE,,platform_specific,2026-02-05,fadara01,gemini-code-assist; bigPYJ1151; fadara01,"bug, ready, cpu",3,1,1,1,vllm/model_executor/layers/quantization/kernels/scaled_mm/cpu.py,,fd03538bf97cd7f4fedd6da4584c89635878174f,https://github.com/vllm-project/vllm/pull/33727
31,#35684,[Bug] Fix Failure in /v1/chat/completions/render for Multimodal Requests (https://github.com/vllm-project/vllm/issues/35665),cpu,api/frontend,NickLucche; sagearc,NickLucche,,CANDIDATE,,platform_specific,2026-03-14,sergey-zinchenko,gemini-code-assist; sergey-zinchenko; DarkLight1337; NickLucche; nithinvc; sagearc,"bug, frontend, ready, v1, cpu",559,167,5,13,pyproject.toml | vllm/entrypoints/openai/api_server.py | vllm/entrypoints/serve/disagg/protocol.py | vllm/entrypoints/serve/tokenize/serving.py | vllm/v1/serial_utils.py,tests/entrypoints/openai/cpu/__init__.py | tests/entrypoints/openai/cpu/test_render.py | tests/entrypoints/openai/cpu/test_render_multimodal.py | tests/entrypoints/openai/test_launch_render.py | vllm/entrypoints/openai/engine/protocol.py | vllm/entrypoints/openai/server_utils.py | vllm/entrypoints/serve/render/api_router.py | vllm/entrypoints/serve/render/serving.py,4a718e770d885f38e841d9dccebff3f777b3608d,https://github.com/vllm-project/vllm/pull/35684
